EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
33256,1711044,REGULAR,PAVILION CAFE,,315 E BROADWAY,,LOUISVILLE,KY,40202,FOOD SERVICE,2022-10-18,100,A,PAVILION CAFE,,772
116606,1709930,FOLLOWUP,CARVERS CATERING LEMON SHAKE UP,,,,LOUISVILLE,KY,40208,TEMPORARY FOODS,2022-09-30,100,,CARVERS CATERING LEMON SHAKE UP,,10298
116172,1705797,REGULAR,KENTUCKY AMERICAN DAIRY ASSOCIATION,,,,LOUISVILLE,KY,40209,TEMPORARY FOODS,2022-08-25,100,,KENTUCKY AMERICAN DAIRY ASSOCIATION,,10299
33244,1732760,REGULAR,ELKS LOUISVILLE LODGE #8,,2824 KLONDIKE LN,,LOUISVILLE,KY,40218,FOOD SERVICE,2023-02-01,100,A,ELKS LOUISVILLE LODGE #8,,771
116218,1704530,REGULAR,DEAPSTER 502,,,,LOUISVILLE,KY,40299,TEMPORARY FOODS,2022-08-26,100,,DEAPSTER 502,,10301
116341,1696973,OTHER,BRANDY TREATS,,,,LOUISVILLE,KY,40202,MOBILE RETAIL UNIT,2022-08-26,100,,BRANDY TREATS,,10302
33244,1693874,REGULAR,ELKS LOUISVILLE LODGE #8,,2824 KLONDIKE LN,,LOUISVILLE,KY,40218,FOOD SERVICE,2022-08-11,100,A,ELKS LOUISVILLE LODGE #8,,770
116606,1709878,REGULAR,CARVERS CATERING LEMON SHAKE UP,,,,LOUISVILLE,KY,40208,TEMPORARY FOODS,2022-09-30,100,,CARVERS CATERING LEMON SHAKE UP,,10304
116174,1702675,REGULAR,GEORGES FUN FOODS CHICKEN,,,,LOUISVILLE,KY,40209,TEMPORARY FOODS,2022-08-24,100,,GEORGES FUN FOODS CHICKEN,,10305
33228,1747825,REGULAR,OHIO VALLEY RACEWAY,,632 KATHERINE STATION RD,,LOUISVILLE,KY,40177,FOOD SERVICE,2023-04-12,100,A,OHIO VALLEY RACEWAY,,769
116218,1704564,REGULAR,DEAPSTER 502,,,,LOUISVILLE,KY,40299,TEMPORARY FOODS,2022-08-25,100,,DEAPSTER 502,,10307
116202,1708891,REGULAR,GREAT RIVER MAPLE,,,,LOUISVILLE,KY,40209,TEMPORARY FOODS,2022-08-18,100,,GREAT RIVER MAPLE,,10267
116341,1713060,REGULAR,BRANDY TREATS,,,,LOUISVILLE,KY,40202,MOBILE RETAIL UNIT,2022-10-29,100,,BRANDY TREATS,,10308
116552,1702907,OTHER,JOYFUL EATS,,,,LOUISVILLE,KY,40202,SELF-CONTAINED MOBILE FOOD UNITS,2022-09-21,100,,JOYFUL EATS,,10266
116172,1708805,REGULAR,KENTUCKY AMERICAN DAIRY ASSOCIATION,,,,LOUISVILLE,KY,40209,TEMPORARY FOODS,2022-08-18,100,,KENTUCKY AMERICAN DAIRY ASSOCIATION,,10261
116200,1702070,REGULAR,ALL THAI'D UP BOBA,,,,LOUISVILLE,KY,40202,TEMPORARY FOODS,2022-08-26,100,,ALL THAI'D UP BOBA,,10221
116527,1709902,REGULAR,LEISURE TIME CONCESSIONS LLC,,,,LOUISVILLE,KY,40208,TEMPORARY FOODS,2022-09-30,100,,LEISURE TIME CONCESSIONS LLC,,10222
34630,1755009,REGULAR,AMERICAN LEGION,,4610 SHELBYVILLE RD,,LOUISVILLE,KY,40207,FOOD SERVICE,2023-05-09,100,A,AMERICAN LEGION,,885
34630,1725535,REGULAR,AMERICAN LEGION,,4610 SHELBYVILLE RD,,LOUISVILLE,KY,40207,FOOD SERVICE,2022-12-22,100,A,AMERICAN LEGION,,883
34630,1694009,REGULAR,AMERICAN LEGION,,4610 SHELBYVILLE RD,,LOUISVILLE,KY,40207,FOOD SERVICE,2022-08-12,100,A,AMERICAN LEGION,,881
34627,1750753,REGULAR,WALMART #1170,,10445 DIXIE HWY,,LOUISVILLE,KY,40272,"RETAIL-FOOD  10,001 SQ FT OR OVER",2023-04-25,100,A,WALMART #1170,,873
35981,1712689,REGULAR,HD RUBBIES,,6905 SOUTHSIDE DR,,LOUISVILLE,KY,40214,FOOD SERVICE,2022-10-27,100,A,HD RUBBIES,,870
34627,1712761,REGULAR,WALMART #1170,,10445 DIXIE HWY,,LOUISVILLE,KY,40272,"RETAIL-FOOD  10,001 SQ FT OR OVER",2022-10-27,100,A,WALMART #1170,,869
116200,1705778,REGULAR,ALL THAI'D UP BOBA,,,,LOUISVILLE,KY,40202,TEMPORARY FOODS,2022-08-22,100,,ALL THAI'D UP BOBA,,10232
116171,1705815,FOLLOWUP,TOYDOG & CO. CORN DOG & CURDS,,,,LOUISVILLE,KY,40209,TEMPORARY FOODS,2022-08-24,100,,TOYDOG & CO. CORN DOG & CURDS,,10234
116463,1709833,REGULAR,GUANABANA ARTISAN ICE POPS,,,,LOUISVILLE,KY,40209,TEMPORARY FOODS,2022-09-22,100,,GUANABANA ARTISAN ICE POPS,,10235
